ID,Date,zn,sb,tax,marza
241,43337,2925.97,4231.75,534.21,771.57
242,43338,1382.96,2077.27,285.67,408.64
243,43339,2222.27,3217.89,394.59,601.03
244,43340,2072.04,2991.56,372.37,547.15
245,43341,2445.48,3516.83,446.41,624.94
246,43342,2517.88,3546.53,450.95,577.7
247,43343,2963.33,4221.77,544.84,713.6
248,43344,3634.82,5325.8,736.87,954.11
249,43345,1771.04,2597.66,373.57,453.05
250,43346,2011.04,2920.77,367.42,542.31
251,43347,2402.65,3349.67,435.03,511.99
252,43348,2378.85,3381.15,437.49,564.81
253,43349,2293.25,3334.25,425.96,615.04
254,43350,2768.72,4009.1,528.87,711.51
255,43351,2942.11,4247.56,528.33,777.12
256,43352,2873.13,4348.09,600.19,874.77
257,43353,2519.61,3692.54,460.11,712.82
258,43354,2325.19,3279.01,400.51,553.31
259,43355,2343.45,3339.02,423.54,572.03
260,43356,2290.37,3316.48,413.77,612.34
261,43357,2890.19,4186.32,533.95,762.18
262,43358,3457.23,5016.97,657.01,902.73
263,43359,2529.44,3760.2,532.6,698.16
264,43360,2069.36,2969.54,387.81,512.37
265,43361,1858.5,2751.58,327.38,565.7
266,43362,2307.75,3391.42,440.72,642.95
267,43363,2311.63,3344.06,406.65,625.78
268,43364,2698.23,3975.31,506.65,770.43
269,43365,3585.85,5221.78,666.14,969.79
270,43366,2538.16,3779.01,537,703.85
271,43367,2334.82,3378.04,421.16,622.06
272,43368,1769.85,2564.17,317.7,476.62
273,43369,2146.14,3108.26,387.21,574.91
274,43370,2295.77,3367.39,407.72,663.9
275,43371,2826.1,4093.02,524.13,742.79
276,43372,2964.47,4328.54,532.89,831.18
277,43373,1428.14,2157.33,320.68,408.51
278,43374,2423.87,3522.07,446,652.2
279,43375,1849.28,2672.38,327.21,495.89
280,43376,2164.74,3184.2,397.12,622.34
281,43377,1936.18,2792.77,359.97,496.62
282,43378,2523.7,3635.61,474.16,637.75
283,43379,3018.1,4348.15,518.11,811.94
284,43380,1111.86,1690.06,239.31,338.89
285,43381,2064.21,3021.46,389.88,567.37
286,43382,2277.27,3376.6,409.23,690.1
287,43383,2248.83,3277.5,445.86,582.81
288,43384,2017.98,3017.56,367.63,631.95
289,43385,2260.05,3384.25,428.9,695.3
290,43386,3129.93,4622.21,589.55,902.73
291,43387,2294.71,3450.93,505.85,650.37
292,43388,2355.89,3461.83,454.21,651.73
293,43389,2315.31,3438.75,424.77,698.67
294,43390,1895.34,2793.44,360.43,537.67
295,43391,2089.61,3023.57,378.29,555.67
296,43392,2375.55,3492.8,444.6,672.65
297,43393,2960.63,4278.91,535.22,783.06
298,43395,2092.9,2969.41,357.78,518.73
299,43396,1767.11,2433.12,276.31,389.7
300,43397,2066.44,2927.23,351.31,509.48
301,43398,2079.79,3072.61,389.07,603.75
302,43399,2095.32,3057.1,389.87,571.91
303,43400,3262.43,4731.89,581.88,887.58
304,43401,1294.9,1900.04,287.28,317.86
305,43402,2108.23,2968.75,380.16,480.36
306,43403,2257.2,3238.31,396.84,584.27
307,43404,3591.39,5114.83,641.79,881.65
308,43405,396.81,584.31,83.55,103.95
309,43406,2510.2,3655.65,471.86,673.59
310,43407,2872.22,4158.62,540.12,746.28
311,43408,857.75,1268.72,177.51,233.46
312,43409,2107.2,3003.36,373.72,522.44
313,43410,2042.23,2916.4,356.26,517.91
